
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1971,1,1971-09-19,21-335,HOU,@,CLE,L 0-31,1,0,0.00,0
2,1971,14,1971-12-19,22-061,HOU,,SDG,W 49-33,1,2,2.00,0
,,,2 Games,,,,,1-1-0,2,2,1.00,0
