
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1998,1,1998-09-06,25-094,PHI,,SEA,L 0-38,1,0,0.00,0,0,0,0,,0,1,18,18.00,0
2,1998,2,1998-09-13,25-101,PHI,@,ATL,L 12-17,1,1,1.00,0,0,0,0,,0,0,0,,0
3,1998,5,1998-10-04,25-122,PHI,@,DEN,L 16-41,1,3,3.00,0,1,1,33,33.00,0,3,50,16.67,0
4,1998,12,1998-11-29,25-178,PHI,@,GNB,L 16-24,1,1,1.00,0,0,0,0,,0,0,0,,0
5,1998,14,1998-12-13,25-192,PHI,,ARI,L 17-20,0,0,,0,0,0,0,,0,1,28,28.00,0
6,1998,15,1998-12-20,25-199,PHI,@,DAL,L 9-13,3,40,13.33,0,0,0,0,,0,1,17,17.00,0
7,1998,16,1998-12-27,25-206,PHI,,NYG,L 10-20,5,10,2.00,0,1,1,2,2.00,0,2,37,18.50,0
,,,7 Games,,,,,0-7-0,12,55,4.58,0,2,2,35,17.50,0,8,150,18.75,0
