
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1982,1,1982-09-12,29-005,CLE,@,SEA,W 21-7,0,0,,0
2,1982,2,1982-09-19,29-012,CLE,,PHI,L 21-24,0,0,,0
3,1982,3,1982-11-21,29-075,CLE,,NWE,W 10-7,0,0,,0
4,1982,4,1982-11-25,29-079,CLE,@,DAL,L 14-31,0,0,,0
5,1982,5,1982-12-05,29-089,CLE,,SDG,L 13-30,1,13,13.00,0
6,1982,6,1982-12-12,29-096,CLE,@,CIN,L 10-23,0,0,,0
7,1982,7,1982-12-19,29-103,CLE,,PIT,W 10-9,0,0,,0
8,1982,8,1982-12-26,29-110,CLE,@,HOU,W 20-14,0,0,,0
9,1982,9,1983-01-02,29-117,CLE,@,PIT,L 21-37,0,0,,0
,,,9 Games,,,,,4-5-0,1,13,13.00,0
