
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1982,1,1982-09-13,22-019,DAL,,PIT,L 28-36,0,0,,0
2,1982,2,1982-09-19,22-025,DAL,@,STL,W 24-7,0,0,,0
3,1982,3,1982-11-21,22-088,DAL,,TAM,W 14-9,0,0,,0
4,1982,4,1982-11-25,22-092,DAL,,CLE,W 31-14,7,22,3.14,0
5,1982,6,1982-12-13,22-110,DAL,@,HOU,W 37-7,0,0,,0
6,1982,7,1982-12-19,22-116,DAL,,NOR,W 21-7,0,0,,0
7,1982,8,1982-12-26,22-123,DAL,,PHI,L 20-24,0,0,,0
8,1982,9,1983-01-03,22-131,DAL,@,MIN,L 27-31,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
9,1984,11,1984-11-11,24-078,TAM,,NYG,W 20-17,0,0,,0
10,1984,12,1984-11-18,24-085,TAM,@,SFO,L 17-24,0,0,,0
11,1984,13,1984-11-25,24-092,TAM,,RAM,L 33-34,0,0,,0
12,1984,14,1984-12-02,24-099,TAM,@,GNB,L 14-27,0,0,,0
13,1984,15,1984-12-09,24-106,TAM,,ATL,W 23-6,1,2,2.00,0
14,1984,16,1984-12-16,24-113,TAM,,NYJ,W 41-21,0,0,,0
,,,14 Games,,,,,8-6-0,8,24,3.00,0
