
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1995,1,1995-09-03,23-348,ARI,@,WAS,L 7-27,0,0,0,,0,5,123,24.60,0
2,1995,2,1995-09-10,23-355,ARI,,PHI,L 19-31,0,0,0,,0,4,133,33.25,0
3,1995,3,1995-09-17,23-362,ARI,@,DET,W 20-17,0,0,0,,0,3,47,15.67,0
4,1995,4,1995-09-24,24-004,ARI,@,DAL,L 20-34,0,0,0,,0,7,149,21.29,0
5,1995,5,1995-10-01,24-011,ARI,,KAN,L 3-24,0,0,0,,0,5,93,18.60,0
6,1995,6,1995-10-08,24-018,ARI,@,NYG,L 21-27,0,0,0,,0,3,50,16.67,0
7,1995,7,1995-10-15,24-025,ARI,,WAS,W 24-20,0,0,0,,0,2,34,17.00,0
8,1995,12,1995-11-26,24-067,ARI,,ATL,W 40-37,0,0,0,,0,3,64,21.33,0
9,1995,13,1995-11-30,24-071,ARI,,NYG,L 6-10,0,0,0,,0,2,40,20.00,0
10,1995,14,1995-12-09,24-080,ARI,@,SDG,L 25-28,0,0,0,,0,2,45,22.50,0
11,1995,15,1995-12-17,24-088,ARI,@,PHI,L 20-21,0,0,0,,0,1,30,30.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
12,1996,1,1996-09-01,24-347,ARI,@,IND,L 13-20,1,1,0,0.00,0,0,0,,0
13,1996,2,1996-09-08,24-354,ARI,,MIA,L 10-38,0,0,0,,0,1,30,30.00,0
14,1996,3,1996-09-15,24-361,ARI,@,NWE,L 0-31,0,0,0,,0,2,25,12.50,0
15,1996,5,1996-09-29,25-009,ARI,,STL,W 31-28,0,0,0,,0,1,29,29.00,0
,,,15 Games,,,,,4-11-0,1,1,0,0.00,0,41,892,21.76,0
