
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1999,1,1999-09-12,28-183,BAL,@,STL,L 10-27
2,1999,2,1999-09-19,28-190,BAL,,PIT,L 20-23
3,1999,3,1999-09-26,28-197,BAL,,CLE,W 17-10
,,,3 Games,,,,,1-2-0
