
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1969,2,1969-09-21,22-249,DEN,,NYJ,W 21-19,7,29,4.14,0,,0,0,,0
2,1969,3,1969-09-28,22-256,DEN,@,BUF,L 28-41,9,27,3.00,0,,4,40,10.00,0
3,1969,5,1969-10-12,22-270,DEN,,OAK,L 14-24,1,6,6.00,0,,0,0,,0
4,1969,7,1969-10-26,22-284,DEN,@,HOU,L 21-24,0,0,,0,,1,14,14.00,0
5,1969,8,1969-11-02,22-291,DEN,,SDG,W 13-0,9,30,3.33,0,,0,0,,0
6,1969,9,1969-11-09,22-298,DEN,@,OAK,L 10-41,1,6,6.00,0,,0,0,,0
7,1969,10,1969-11-16,22-305,DEN,,HOU,T 20-20,13,31,2.38,0,,1,7,7.00,0
8,1969,11,1969-11-23,22-312,DEN,@,SDG,L 24-45,5,22,4.40,0,,4,35,8.75,0
9,1969,14,1969-12-14,22-333,DEN,,CIN,W 27-16,12,32,2.67,0,,1,71,71.00,0
,,,9 Games,,,,,3-5-1,57,183,3.21,0,,11,167,15.18,0
