
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,2,1960-09-18,27-301,BUF,,DEN,L 21-27,0,0,,0,,0,0,,0,1,55,55.00,0,0,0
2,1960,3,1960-09-23,27-306,BUF,@,BOS,W 13-0,2,2,1.00,0,,1,58,58.00,1,0,0,,0,1,6
3,1960,5,1960-10-16,27-329,BUF,,NYT,L 13-17,2,9,4.50,0,,1,6,6.00,0,1,17,17.00,0,0,0
4,1960,9,1960-11-13,27-357,BUF,@,OAK,L 7-20,2,13,6.50,0,,1,7,7.00,0,0,0,,0,0,0
5,1960,10,1960-11-20,27-364,BUF,@,LAC,W 32-3,8,24,3.00,0,,3,40,13.33,0,0,0,,0,0,0
6,1960,11,1960-11-27,28-005,BUF,@,DEN,T 38-38,4,6,1.50,0,,0,0,,0,0,0,,0,0,0
7,1960,14,1960-12-18,28-026,BUF,@,DTX,L 7-24,1,7,7.00,0,,1,16,16.00,0,0,0,,0,0,0
,,,7 Games,,,,,2-4-1,19,61,3.21,0,,7,127,18.14,1,2,72,36.00,0,1,6
