
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2007,11,2007-11-25,22-035,HOU,@,CLE,L 17-27,0,0,,0,,0,0,,0,0,0
2,2007,13,2007-12-09,22-049,HOU,,TAM,W 28-14,16,46,2.88,0,6,6,35,5.83,0,0,0
3,2007,14,2007-12-13,22-053,HOU,,DEN,W 31-13,13,66,5.08,0,2,1,2,2.00,0,0,0
4,2007,15,2007-12-23,22-063,HOU,@,IND,L 15-38,19,66,3.47,0,7,6,44,7.33,0,0,0
5,2007,16,2007-12-30,22-070,HOU,,JAX,W 42-28,10,86,8.60,1,0,0,0,,0,1,6
,,,5 Games,,,,,3-2-0,58,264,4.55,1,15,13,81,6.23,0,1,6
