
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-296,MIN,,GNB,L 16-23,4,3,0.75,0,,2,17,8.50,0
2,1987,4,1987-10-11,24-303,MIN,@,CHI,L 7-27,0,0,,0,,0,0,,0
,,,2 Games,,,,,0-2-0,4,3,0.75,0,,2,17,8.50,0
