
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1987,3,1987-10-04,28-181,WAS,,STL,W 28-21,2,7,3.50,0
2,1987,4,1987-10-11,28-188,WAS,@,NYG,W 38-12,0,0,,0
3,1987,5,1987-10-19,28-196,WAS,@,DAL,W 13-7,0,0,,0
,,,3 Games,,,,,3-0-0,2,7,3.50,0
