
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1960,1,1960-09-23,24-311,STL,@,RAM,W 43-21,,1,5,5.00,0,2,1,0.50,0,0,0,,0,0,0,,,,1,65,65.00,0,1,6,6.00,0,5,5,100.0,2,4,50.0,0,11
2,1960,2,1960-10-02,24-320,STL,,NYG,L 14-35,,0,0,,0,1,33,33.00,0,0,0,,0,0,0,,,,2,43,21.50,0,0,0,,0,2,2,100.0,,1,0.0,0,2
3,1960,3,1960-10-09,24-327,STL,@,PHI,L 27-31,,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,,,4,112,28.00,0,0,0,,0,3,3,100.0,,,,0,3
4,1960,4,1960-10-16,24-334,STL,@,PIT,L 14-27,,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,,,1,32,32.00,0,0,0,,0,2,2,100.0,,,,0,2
5,1960,5,1960-10-23,24-341,STL,,DAL,W 12-10,,0,0,,0,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
6,1960,6,1960-10-30,24-348,STL,@,NYG,W 20-13,,0,0,,0,3,2,0.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
7,1960,7,1960-11-06,24-355,STL,,WAS,W 44-7,,1,17,17.00,0,5,40,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,5,5,100.0,,,,0,5
8,1960,8,1960-11-13,24-362,STL,@,CLE,L 27-28,,0,0,,0,4,7,1.75,0,0,0,,0,0,0,,,,0,0,,0,1,0,0.00,0,3,3,100.0,,,,0,3
9,1960,9,1960-11-20,25-003,STL,@,WAS,W 26-14,,1,24,24.00,0,2,-2,-1.00,0,0,0,,0,0,0,,,,3,68,22.67,0,1,22,22.00,0,3,3,100.0,,,,0,3
10,1960,10,1960-11-27,25-010,STL,,CLE,T 17-17,,1,4,4.00,0,2,-6,-3.00,0,0,0,,0,0,0,,,,1,18,18.00,0,1,6,6.00,0,2,2,100.0,,,,0,2
11,1960,11,1960-12-04,25-017,STL,,PHI,L 6-20,,0,0,,0,2,1,0.50,0,0,0,,0,0,0,,,,0,0,,0,1,5,5.00,0,,1,0.0,,,,0,0
12,1960,12,1960-12-18,25-031,STL,,PIT,W 38-7,,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,3,47,15.67,0,,,,,,,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
13,1961,1,1961-09-17,25-304,STL,@,NYG,W 21-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
