
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1965,13,1965-12-12,22-189,MIN,@,DET,W 29-7,3,4,1.33,0,3,64,21.33,0,3,7,2.33,0
2,1965,14,1965-12-19,22-196,MIN,@,CHI,W 24-17,0,0,,0,1,14,14.00,0,1,0,0.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
3,1966,2,1966-09-18,23-104,MIN,,BAL,L 23-38,0,0,,0,2,48,24.00,0,2,7,3.50,0
4,1966,3,1966-09-25,23-111,MIN,@,DAL,L 17-28,0,0,,0,2,37,18.50,0,0,0,,0
5,1966,4,1966-10-02,23-118,MIN,,CHI,L 10-13,0,0,,0,1,20,20.00,0,0,0,,0
,,,5 Games,,,,,2-3-0,3,4,1.33,0,9,183,20.33,0,6,14,2.33,0
