
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1996,8,1996-10-27,24-032,SEA,,SDG,W 32-13,0,0,,0,,0,0,,0
2,1996,9,1996-11-03,24-039,SEA,,HOU,W 23-16,0,0,,0,1,0,0,,0
3,1996,10,1996-11-10,24-046,SEA,,MIN,W 42-23,1,2,2.00,0,0,0,0,,0
4,1996,11,1996-11-17,24-053,SEA,@,DET,L 16-17,0,0,,0,1,1,5,5.00,0
5,1996,12,1996-11-24,24-060,SEA,,OAK,L 21-27,0,0,,0,1,0,0,,0
6,1996,13,1996-12-01,24-067,SEA,@,DEN,L 7-34,0,0,,0,,0,0,,0
7,1996,14,1996-12-08,24-074,SEA,,BUF,W 26-18,0,0,,0,,0,0,,0
8,1996,15,1996-12-15,24-081,SEA,@,JAX,L 13-20,1,2,2.00,0,0,0,0,,0
9,1996,16,1996-12-22,24-088,SEA,@,OAK,W 28-21,0,0,,0,,0,0,,0
,,,9 Games,,,,,5-4-0,2,4,2.00,0,3,1,5,5.00,0
