
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2004,12,2004-12-05,24-281,TAM,,ATL,W 27-0,1,25,25.00,0,0,0,0,,0,1,17,17.00,0
2,2004,13,2004-12-12,24-288,TAM,@,SDG,L 24-31,0,0,,0,2,2,10,5.00,0,5,106,21.20,0
3,2004,14,2004-12-19,24-295,TAM,,NOR,L 17-21,1,1,1.00,0,0,0,0,,0,2,44,22.00,0
4,2004,15,2004-12-26,24-302,TAM,,CAR,L 20-37,,,,,,,,,,,,,
,,,4 Games,,,,,1-3-0,2,26,13.00,0,2,2,10,5.00,0,8,167,20.88,0
