
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
1,1960,7,1960-11-13,27-301,CHI,,BAL,L 20-24,1,31,0
2,1960,12,1960-12-18,27-336,CHI,@,DET,L 0-36,2,0,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
3,1961,2,1961-09-23,28-249,CHI,@,RAM,W 21-17,1,28,0
4,1961,11,1961-11-26,28-313,CHI,,RAM,W 28-24,2,20,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
5,1962,11,1962-11-25,29-312,CHI,@,BAL,W 57-0,1,21,0
6,1962,14,1962-12-16,29-333,CHI,,DET,W 3-0,1,0,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
7,1963,7,1963-10-27,30-283,CHI,,PHI,W 16-7,1,3,0
,,,,,,,,,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Int,Yds,TD
8,1964,5,1964-10-11,31-268,CHI,,RAM,W 38-17,1,79,0
9,1964,14,1964-12-13,31-331,CHI,,MIN,L 14-41,1,5,0
,,,9 Games,,,,,6-3-0,11,187,0
