
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1967,4,1967-10-08,23-107,ATL,,PHI,L 7-38,2,7,3.50,0,,1,11,11.00,0,0,0,,0
2,1967,13,1967-12-10,23-170,ATL,,SFO,L 28-34,0,0,,0,,0,0,,0,1,12,12.00,0
,,,2 Games,,,,,0-2-0,2,7,3.50,0,,1,11,11.00,0,1,12,12.00,0
