
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1988,12,1988-11-20,22-025,SEA,@,KAN,L 24-27,0,0,,0,0,0,,0
2,1988,13,1988-11-28,22-033,SEA,,RAI,W 35-27,0,0,,0,0,0,,0
3,1988,14,1988-12-04,22-039,SEA,@,NWE,L 7-13,0,0,,0,0,0,,0
4,1988,15,1988-12-11,22-046,SEA,,DEN,W 42-14,0,0,,0,1,18,18.00,0
5,1988,16,1988-12-18,22-053,SEA,@,RAI,W 43-37,2,13,6.50,0,2,44,22.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
6,1989,12,1989-11-26,23-031,SEA,@,DEN,L 14-41,1,24,24.00,0,3,33,11.00,0
7,1989,13,1989-12-04,23-039,SEA,,BUF,W 17-16,0,0,,0,3,51,17.00,0
8,1989,14,1989-12-10,23-045,SEA,@,CIN,W 24-17,0,0,,0,0,0,,0
9,1989,15,1989-12-17,23-052,SEA,,RAI,W 23-17,0,0,,0,0,0,,0
,,,9 Games,,,,,6-3-0,3,37,12.33,0,9,146,16.22,0
