
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1993,7,1993-10-24,23-281,PIT,@,CLE,L 23-28,0,0,,0,,0,0,,0
2,1993,8,1993-11-07,23-295,PIT,@,CIN,W 24-16,0,0,,0,,0,0,,0
3,1993,9,1993-11-15,23-303,PIT,,BUF,W 23-0,1,7,7.00,0,,0,0,,0
4,1993,10,1993-11-21,23-309,PIT,@,DEN,L 13-37,0,0,,0,1,1,3,3.00,0
5,1993,11,1993-11-28,23-316,PIT,@,HOU,L 3-23,0,0,,0,,0,0,,0
6,1993,12,1993-12-05,23-323,PIT,,NWE,W 17-14,0,0,,0,,0,0,,0
7,1993,13,1993-12-13,23-331,PIT,@,MIA,W 21-20,0,0,,0,,0,0,,0
8,1993,14,1993-12-19,23-337,PIT,,HOU,L 17-26,0,0,,0,,0,0,,0
9,1993,15,1993-12-26,23-344,PIT,@,SEA,L 6-16,0,0,,0,,0,0,,0
10,1993,16,1994-01-02,23-351,PIT,,CLE,W 16-9,0,0,,0,,0,0,,0
,,,10 Games,,,,,5-5-0,1,7,7.00,0,1,1,3,3.00,0
