
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
1,1960,1,1960-09-11,22-085,BUF,@,NYT,L 3-27,1,3,3.00,0,,,,1,1,100.0,0,3
2,1960,2,1960-09-18,22-092,BUF,,DEN,L 21-27,0,0,,0,1,2,50.0,,1,0.0,0,1
3,1960,3,1960-09-23,22-097,BUF,@,BOS,W 13-0,,,,,,,,,,,,
4,1960,4,1960-10-02,22-106,BUF,,LAC,L 10-24,0,0,,0,,,,1,1,100.0,0,3
5,1960,5,1960-10-16,22-120,BUF,,NYT,L 13-17,,,,,,,,,,,,
6,1960,6,1960-10-23,22-127,BUF,,OAK,W 38-9,,,,,,,,,,,,
7,1960,7,1960-10-30,22-134,BUF,,HOU,W 25-24,,,,,,,,,,,,
8,1960,8,1960-11-06,22-141,BUF,,DTX,L 28-45,,,,,,,,,,,,
9,1960,9,1960-11-13,22-148,BUF,@,OAK,L 7-20,,,,,,,,,,,,
10,1960,10,1960-11-20,22-155,BUF,@,LAC,W 32-3,,,,,,,,,,,,
11,1960,11,1960-11-27,22-162,BUF,@,DEN,T 38-38,,,,,,,,,,,,
12,1960,12,1960-12-04,22-169,BUF,,BOS,W 38-14,,,,,,,,,,,,
13,1960,13,1960-12-11,22-176,BUF,@,HOU,L 23-31,,,,,,,,,,,,
14,1960,14,1960-12-18,22-183,BUF,@,DTX,L 7-24,,,,,,,,,,,,
,,,14 Games,,,,,5-8-1,1,3,3.00,0,1,2,50.0,2,3,66.7,0,7
