
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
30,1995,6,1995-10-15,23-225,MIN,@,TAM,L 17-20,20,53,2.65,0,2,2,15,7.50,0,0,0,,0,0,0,,0,0,0
31,1995,7,1995-10-22,23-232,MIN,@,GNB,L 21-38,11,56,5.09,1,0,0,0,,0,0,0,,0,0,0,,0,1,6
32,1995,10,1995-11-12,23-253,MIN,@,ARI,W 30-24,15,62,4.13,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
33,1995,15,1995-12-18,23-289,MIN,@,SFO,L 30-37,9,33,3.67,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
34,1996,1,1996-09-01,24-181,MIN,,DET,W 17-13,22,113,5.14,0,7,2,19,9.50,0,0,0,,0,0,0,,0,0,0
35,1996,2,1996-09-08,24-188,MIN,@,ATL,W 23-17,30,90,3.00,0,1,1,3,3.00,0,0,0,,0,0,0,,0,0,0
36,1996,3,1996-09-15,24-195,MIN,@,CHI,W 20-14,18,81,4.50,1,1,0,0,,0,0,0,,0,0,0,,0,1,6
37,1996,4,1996-09-22,24-202,MIN,,GNB,W 30-21,26,88,3.38,1,3,2,9,4.50,0,0,0,,0,0,0,,0,1,6
38,1996,5,1996-09-29,24-209,MIN,@,NYG,L 10-15,17,86,5.06,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
39,1996,6,1996-10-06,24-216,MIN,,CAR,W 14-12,27,102,3.78,0,2,2,8,4.00,0,0,0,,0,0,0,,0,0,0
40,1996,7,1996-10-13,24-223,MIN,@,TAM,L 13-24,18,133,7.39,1,0,0,0,,0,0,0,,0,0,0,,0,1,6
41,1996,8,1996-10-28,24-238,MIN,,CHI,L 13-15,4,-1,-0.25,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
42,1997,1,1997-08-31,25-180,MIN,@,BUF,W 34-13,16,169,10.56,1,1,1,5,5.00,0,0,0,,0,0,0,,0,1,6
43,1997,2,1997-09-07,25-187,MIN,@,CHI,W 27-24,13,85,6.54,0,1,1,2,2.00,0,0,0,,0,0,0,,0,0,0
44,1997,3,1997-09-14,25-194,MIN,,TAM,L 14-28,10,54,5.40,0,7,6,27,4.50,0,0,0,,0,0,0,,0,0,0
45,1997,4,1997-09-21,25-201,MIN,@,GNB,L 32-38,28,132,4.71,1,6,4,38,9.50,0,0,0,,0,0,0,,0,1,6
46,1997,5,1997-09-28,25-208,MIN,,PHI,W 28-19,22,125,5.68,1,5,3,10,3.33,1,0,0,,0,0,0,,0,2,12
47,1997,6,1997-10-05,25-215,MIN,@,ARI,W 20-19,17,60,3.53,0,4,4,35,8.75,0,0,0,,0,0,0,,0,0,0
48,1997,7,1997-10-12,25-222,MIN,,CAR,W 21-14,23,120,5.22,1,2,2,7,3.50,0,0,0,,0,0,0,,0,1,6
49,1997,8,1997-10-26,25-236,MIN,@,TAM,W 10-6,11,30,2.73,0,2,2,10,5.00,0,0,0,,0,0,0,,0,0,0
50,1997,11,1997-11-16,25-257,MIN,@,DET,L 15-38,10,61,6.10,1,3,3,9,3.00,0,0,0,,0,0,0,,0,1,6
51,1997,12,1997-11-23,25-264,MIN,@,NYJ,L 21-23,18,46,2.56,0,4,3,5,1.67,0,0,0,,0,0,0,,0,0,0
52,1997,13,1997-12-01,25-272,MIN,,GNB,L 11-27,16,54,3.38,0,2,2,6,3.00,0,0,0,,0,0,0,,0,0,0
53,1997,14,1997-12-07,25-278,MIN,@,SFO,L 17-28,11,69,6.27,0,2,2,8,4.00,0,0,0,,0,0,0,,0,0,0
54,1997,15,1997-12-14,25-285,MIN,,DET,L 13-14,20,101,5.05,1,2,2,20,10.00,0,0,0,,0,0,0,,0,1,6
55,1997,16,1997-12-21,25-292,MIN,,IND,W 39-28,17,160,9.41,0,3,2,15,7.50,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
56,1998,1,1998-09-06,26-186,MIN,,TAM,W 31-7,18,90,5.00,0,2,2,23,11.50,0,0,0,,0,0,0,,0,0,0
57,1998,2,1998-09-13,26-193,MIN,@,STL,W 38-31,23,179,7.78,2,4,3,7,2.33,0,0,0,,0,0,0,,0,2,12
58,1998,3,1998-09-20,26-200,MIN,,DET,W 29-6,15,39,2.60,0,2,2,10,5.00,0,0,0,,0,0,0,,0,0,0
59,1998,4,1998-09-27,26-207,MIN,@,CHI,W 31-28,19,76,4.00,0,2,2,83,41.50,1,0,0,,0,0,0,,0,1,6
60,1998,5,1998-10-05,26-215,MIN,@,GNB,W 37-24,25,78,3.12,0,2,2,38,19.00,1,0,0,,0,0,0,,0,1,6
61,1998,6,1998-10-18,26-228,MIN,,WAS,W 41-7,24,103,4.29,1,5,4,23,5.75,0,0,0,,0,0,0,,0,1,6
62,1998,7,1998-10-25,26-235,MIN,@,DET,W 34-13,19,134,7.05,1,1,0,0,,0,0,0,,0,0,0,,0,1,6
63,1998,8,1998-11-01,26-242,MIN,@,TAM,L 24-27,13,46,3.54,1,5,5,28,5.60,0,0,0,,0,0,0,,0,1,6
64,1998,9,1998-11-08,26-249,MIN,,NOR,W 31-24,20,137,6.85,1,3,1,9,9.00,0,0,0,,0,0,0,,0,1,6
65,1998,10,1998-11-15,26-256,MIN,,CIN,W 24-3,18,58,3.22,0,2,1,10,10.00,0,0,0,,0,0,0,,0,0,0
66,1998,11,1998-11-22,26-263,MIN,,GNB,W 28-14,13,27,2.08,0,3,2,10,5.00,0,0,0,,0,0,0,,0,0,0
67,1998,12,1998-11-26,26-267,MIN,@,DAL,W 46-36,8,46,5.75,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
68,1998,15,1998-12-20,26-291,MIN,,JAX,W 50-10,19,101,5.32,0,1,1,4,4.00,0,0,0,,0,0,0,,0,0,0
69,1998,16,1998-12-26,26-297,MIN,@,TEN,W 26-16,15,73,4.87,0,3,3,46,15.33,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
70,1999,1,1999-09-12,27-192,MIN,@,ATL,W 17-14,16,47,2.94,0,4,3,6,2.00,0,0,0,,0,0,0,,0,0,0
71,1999,2,1999-09-19,27-199,MIN,,OAK,L 17-22,11,24,2.18,0,2,1,6,6.00,0,0,0,,0,0,0,,0,0,0
72,1999,3,1999-09-26,27-206,MIN,@,GNB,L 20-23,21,85,4.05,0,3,3,19,6.33,0,0,0,,0,0,0,,0,0,0
73,1999,4,1999-10-03,27-213,MIN,,TAM,W 21-14,19,59,3.11,0,7,6,21,3.50,0,0,0,,0,0,0,,0,0,0
74,1999,5,1999-10-10,27-220,MIN,,CHI,L 22-24,12,107,8.92,0,2,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
75,1999,6,1999-10-17,27-227,MIN,@,DET,L 23-25,4,14,3.50,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
76,1999,10,1999-11-14,27-255,MIN,@,CHI,W 27-24,20,83,4.15,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
77,1999,11,1999-11-28,27-269,MIN,,SDG,W 35-27,20,104,5.20,0,1,1,5,5.00,0,0,0,,0,0,0,,0,0,0
78,1999,12,1999-12-06,27-277,MIN,@,TAM,L 17-24,20,77,3.85,0,5,5,68,13.60,0,0,0,,0,0,0,,0,0,0
