
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1991,7,1991-10-13,24-090,DAL,,CIN,W 35-23,6,38,6.33,1,,0,0,,0,1,6
2,1991,9,1991-11-03,24-111,DAL,,PHO,W 27-7,9,42,4.67,0,,1,5,5.00,0,0,0
,,,2 Games,,,,,2-0-0,15,80,5.33,1,,1,5,5.00,0,1,6
