
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1978,3,1978-09-17,24-195,HOU,,SFO,W 20-19,2,35,17.50,0
2,1978,5,1978-10-01,24-209,HOU,@,CLE,W 16-13,2,34,17.00,0
,,,2 Games,,,,,2-0-0,4,69,17.25,0
