
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
1,1960,1,1960-09-11,22-173,HOU,@,OAK,W 37-22,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0,0,0,0
2,1960,2,1960-09-18,22-180,HOU,,LAC,W 38-28,8,62,7.75,0,,1,10,10.00,0,0,0,,0,0,0,0,0,0
3,1960,7,1960-10-30,22-222,HOU,@,BUF,L 24-25,0,0,,0,,0,0,,0,1,16,16.00,0,0,0,0,0,0
4,1960,8,1960-11-06,22-229,HOU,@,DEN,W 45-25,0,0,,0,,0,0,,0,1,16,16.00,0,0,0,0,0,0
5,1960,10,1960-11-20,22-243,HOU,,DEN,W 20-10,6,14,2.33,0,,0,0,,0,0,0,,0,0,0,0,0,0
6,1960,11,1960-11-25,22-248,HOU,@,BOS,W 24-10,9,17,1.89,1,,0,0,,0,0,0,,0,1,6,0,0,0
7,1960,12,1960-12-04,22-257,HOU,@,DTX,L 0-24,4,1,0.25,0,,3,5,1.67,0,0,0,,0,0,0,0,0,0
8,1960,13,1960-12-11,22-264,HOU,,BUF,W 31-23,9,14,1.56,1,,0,0,,0,0,0,,0,1,6,0,0,0
9,1960,14,1960-12-18,22-271,HOU,,BOS,W 37-21,0,0,,0,,0,0,,0,1,10,10.00,0,0,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
10,1961,5,1961-10-13,23-205,HOU,@,BOS,T 31-31,0,0,,0,,0,0,,0,1,24,24.00,0,0,0,0,0,0
11,1961,11,1961-11-26,23-249,HOU,,DEN,W 45-14,0,0,,0,,0,0,,0,0,0,,0,0,0,1,24,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
12,1962,11,1962-11-25,24-248,HOU,,SDG,W 33-27,0,0,,0,,0,0,,0,0,0,,0,0,0,1,14,0
13,1962,14,1962-12-15,24-268,HOU,@,NYT,W 44-10,0,0,,0,,0,0,,0,0,0,,0,0,0,1,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
14,1963,8,1963-10-27,25-219,HOU,,KAN,W 28-7,0,0,,0,,0,0,,0,0,0,,0,0,0,2,16,0
15,1963,10,1963-11-10,25-233,HOU,,NYJ,W 31-27,0,0,,0,,0,0,,0,0,0,,0,0,0,1,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
16,1966,4,1966-09-25,28-187,HOU,@,BUF,L 20-27,0,0,,0,,0,0,,0,0,0,,0,0,0,1,23,0
,,,16 Games,,,,,12-3-1,37,105,2.84,2,,4,15,3.75,0,4,66,16.50,0,2,12,7,77,0
