
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1975,1,1975-09-21,23-165,BUF,,NYJ,W 42-14,2,9,4.50,0,,0,0,,0
2,1975,12,1975-12-07,23-242,MIN,,GNB,W 24-3,0,0,,0,,2,28,14.00,0
,,,2 Games,,,,,2-0-0,2,9,4.50,0,,2,28,14.00,0
