
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-319,DET,,TAM,L 27-31,0,0,,0,,0,0,,0
2,1987,4,1987-10-11,24-326,DET,@,GNB,W 19-16,0,0,,0,,0,0,,0
3,1987,5,1987-10-18,24-333,DET,,SEA,L 14-37,1,2,2.00,0,,1,3,3.00,0
,,,3 Games,,,,,1-2-0,1,2,2.00,0,,1,3,3.00,0
