
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1991,4,1991-09-22,23-144,GNB,@,MIA,L 13-16,0,0,,0
2,1991,5,1991-09-29,23-151,GNB,@,RAM,L 21-23,0,0,,0
3,1991,6,1991-10-06,23-158,GNB,,DAL,L 17-20,0,0,,0
4,1991,7,1991-10-17,23-169,GNB,,CHI,L 0-10,0,0,,0
5,1991,8,1991-10-27,23-179,GNB,@,TAM,W 27-0,0,0,,0
6,1991,9,1991-11-03,23-186,GNB,@,NYJ,L 16-19,0,0,,0
7,1991,10,1991-11-10,23-193,GNB,,BUF,L 24-34,0,0,,0
8,1991,15,1991-12-15,23-228,GNB,,DET,L 17-21,1,0,0.00,0
9,1991,16,1991-12-21,23-234,GNB,@,MIN,W 27-7,0,0,,0
,,,9 Games,,,,,2-7-0,1,0,0.00,0
