
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,26-271,SDG,@,CIN,W 10-9,3,6,2.00,0,,1,7,7.00,0,0,0,,0
2,1987,4,1987-10-11,26-278,SDG,@,TAM,W 17-13,8,32,4.00,0,,2,13,6.50,0,2,46,23.00,0
3,1987,5,1987-10-18,26-285,SDG,@,RAI,W 23-17,11,50,4.55,0,,5,20,4.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
4,1988,1,1988-09-04,27-242,KAN,,CLE,L 3-6,,,,,,,,,,0,0,,0
5,1988,2,1988-09-11,27-249,KAN,@,SEA,L 10-31,0,0,,0,,0,0,,0,2,12,6.00,0
,,,5 Games,,,,,3-2-0,22,88,4.00,0,,8,40,5.00,0,4,58,14.50,0
