
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1975,2,1975-09-28,22-121,CLE,,MIN,L 10-42,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,0,0.00,0,0,0,,0
2,1975,4,1975-10-12,22-135,CLE,,HOU,L 10-40,1,0,0.00,0,,1,15,15.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0
3,1975,11,1975-11-30,22-184,CLE,,NOR,W 17-16,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,59,29.50,0,0,0,,0
4,1975,12,1975-12-07,22-191,CLE,@,PIT,L 17-31,0,0,,0,,1,9,9.00,0,0,0,,0,0,0,,,,3,81,27.00,0,0,0,,0
5,1975,13,1975-12-14,22-198,CLE,,KAN,W 40-14,1,0,0.00,0,,0,0,,0,0,0,,0,0,0,,,,1,37,37.00,0,1,9,9.00,0
6,1975,14,1975-12-21,22-205,CLE,@,HOU,L 10-21,5,38,7.60,0,,2,7,3.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,17,17.00,0,1,7,7.00,0
,,,6 Games,,,,,2-4-0,7,38,5.43,0,,4,31,7.75,0,0,1,0.00,0,0,0,39.6,0.00,0.00,8,194,24.25,0,2,16,8.00,0
