
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1978,9,1978-10-29,22-300,BUF,@,CLE,L 20-41,0,0,,0,1,18,18.00,0
2,1978,13,1978-11-26,22-328,BUF,,NYG,W 41-17,0,0,,0,2,35,17.50,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
3,1979,2,1979-09-09,23-250,BUF,,CIN,W 51-24,7,28,4.00,0,0,0,,0
4,1979,3,1979-09-16,23-257,BUF,@,SDG,L 19-27,0,0,,0,1,6,6.00,0
5,1979,5,1979-09-30,23-271,BUF,@,BAL,W 31-13,3,1,0.33,0,0,0,,0
6,1979,7,1979-10-14,23-285,BUF,@,MIA,L 7-17,0,0,,0,2,62,31.00,0
7,1979,8,1979-10-21,23-292,BUF,,BAL,L 13-14,0,0,,0,2,15,7.50,0
8,1979,9,1979-10-28,23-299,BUF,@,DET,W 20-17,0,0,,0,1,14,14.00,0
,,,8 Games,,,,,4-4-0,10,29,2.90,0,9,150,16.67,0
