
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1984,1,1984-09-02,22-183,NOR,,ATL,L 28-36,,0,0,,0,0,0,,0,0,0,,0,,
2,1984,2,1984-09-09,22-190,NOR,,TAM,W 17-13,,0,0,,0,2,21,10.50,1,0,0,,0,1,6
3,1984,3,1984-09-16,22-197,NOR,@,SFO,L 20-30,,0,0,,0,0,0,,0,0,0,,0,,
4,1984,4,1984-09-23,22-204,NOR,,STL,W 34-24,,0,0,,0,4,15,3.75,0,0,0,,0,0,0
5,1984,5,1984-09-30,22-211,NOR,@,HOU,W 27-10,,0,0,,0,4,21,5.25,0,2,35,17.50,0,0,0
6,1984,7,1984-10-14,22-225,NOR,,RAM,L 10-28,,1,6,6.00,0,1,3,3.00,0,0,17,,0,0,0
7,1984,8,1984-10-21,22-232,NOR,@,DAL,L 27-30,,0,0,,0,0,0,,0,4,143,35.75,0,0,0
8,1984,9,1984-10-28,22-239,NOR,@,CLE,W 16-14,,1,11,11.00,0,0,0,,0,0,0,,0,0,0
9,1984,10,1984-11-04,22-246,NOR,,GNB,L 13-23,,2,37,18.50,0,1,1,1.00,0,4,49,12.25,0,0,0
10,1984,11,1984-11-11,22-253,NOR,@,ATL,W 17-13,,0,0,,0,0,0,,0,2,27,13.50,0,0,0
11,1984,12,1984-11-19,22-261,NOR,,PIT,W 27-24,,1,3,3.00,0,2,13,6.50,0,3,66,22.00,0,0,0
12,1984,13,1984-11-25,22-267,NOR,,SFO,L 3-35,,4,31,7.75,0,2,15,7.50,0,2,41,20.50,0,0,0
13,1984,14,1984-12-02,22-274,NOR,@,RAM,L 21-34,,0,0,,0,3,15,5.00,0,2,43,21.50,0,0,0
14,1984,15,1984-12-09,22-281,NOR,,CIN,L 21-24,,3,25,8.33,0,1,1,1.00,0,3,69,23.00,0,0,0
15,1984,16,1984-12-15,22-287,NOR,@,NYG,W 10-3,,0,0,,0,0,0,,0,0,0,,0,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
16,1985,1,1985-09-08,23-189,NOR,,KAN,L 27-47,,0,0,,0,1,-2,-2.00,0,4,86,21.50,0,0,0
17,1985,2,1985-09-15,23-196,NOR,@,DEN,L 23-34,,0,0,,0,0,0,,0,4,98,24.50,0,0,0
18,1985,3,1985-09-22,23-203,NOR,,TAM,W 20-13,,0,0,,0,0,0,,0,1,20,20.00,0,0,0
19,1985,4,1985-09-29,23-210,NOR,@,SFO,W 20-17,,0,0,,0,0,0,,0,3,35,11.67,0,0,0
20,1985,5,1985-10-06,23-217,NOR,,PHI,W 23-21,,1,6,6.00,0,4,20,5.00,0,1,17,17.00,0,0,0
21,1985,6,1985-10-13,23-224,NOR,@,RAI,L 13-23,,2,7,3.50,0,1,8,8.00,0,0,0,,0,0,0
22,1985,7,1985-10-20,23-231,NOR,@,ATL,L 24-31,,4,47,11.75,0,1,6,6.00,0,0,0,,0,0,0
23,1985,8,1985-10-27,23-238,NOR,,NYG,L 13-21,,2,19,9.50,0,1,2,2.00,0,0,0,,0,0,0
24,1985,9,1985-11-03,23-245,NOR,@,RAM,L 10-28,,5,25,5.00,0,3,13,4.33,0,0,0,,0,0,0
25,1985,10,1985-11-10,23-252,NOR,,SEA,L 3-27,,2,-6,-3.00,0,1,1,1.00,0,0,0,,0,0,0
26,1985,11,1985-11-17,23-259,NOR,@,GNB,L 14-38,,7,56,8.00,0,1,-1,-1.00,0,4,70,17.50,0,0,0
27,1985,12,1985-11-24,23-266,NOR,@,MIN,W 30-23,,0,0,,0,0,0,,0,2,57,28.50,0,0,0
28,1985,13,1985-12-01,23-273,NOR,,RAM,W 29-3,,2,10,5.00,0,1,-3,-3.00,0,0,0,,0,0,0
29,1985,14,1985-12-08,23-280,NOR,@,STL,L 16-28,,2,22,11.00,0,0,0,,0,3,68,22.67,0,0,0
30,1985,15,1985-12-15,23-287,NOR,,SFO,L 19-31,,1,-1,-1.00,0,2,18,9.00,0,0,0,,0,0,0
31,1985,16,1985-12-22,23-294,NOR,,ATL,L 10-16,,0,0,,0,1,3,3.00,0,1,25,25.00,0,0,0
,,,31 Games,,,,,12-19-0,,40,298,7.45,0,37,170,4.59,1,45,966,21.47,0,1,6
