
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1995,14,1995-12-09,25-009,CLE,@,MIN,L 11-27,0,0,,0,,0,0,,0,0,0,,0
2,1995,15,1995-12-17,25-017,CLE,,CIN,W 26-10,9,29,3.22,0,0,0,0,,0,0,0,,0
3,1995,16,1995-12-24,25-024,CLE,@,JAX,L 21-24,5,22,4.40,0,1,1,6,6.00,0,3,54,18.00,0
,,,3 Games,,,,,1-2-0,14,51,3.64,0,1,1,6,6.00,0,3,54,18.00,0
