
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-178,MIN,,GNB,L 16-23,3,13,4.33,0,,2,3,1.50,0
2,1987,4,1987-10-11,24-185,MIN,@,CHI,L 7-27,2,11,5.50,0,,0,0,,0
,,,2 Games,,,,,0-2-0,5,24,4.80,0,,2,3,1.50,0
