
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
1,1960,7,1960-11-06,22-336,DAL,,RAM,L 13-38,1,17,17.00,0,0,0,0,0,0
2,1960,8,1960-11-13,22-343,DAL,@,GNB,L 7-41,1,5,5.00,0,0,0,0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
3,1961,1,1961-09-17,23-285,DAL,,PIT,W 27-24,2,33,16.50,0,0,0,0,0,0
4,1961,13,1961-12-10,24-004,DAL,@,STL,L 13-31,0,0,,0,0,0,1,14,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
5,1962,10,1962-11-18,24-347,DAL,,CHI,L 33-34,0,0,,0,0,0,1,7,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
6,1963,8,1963-11-03,25-332,SFO,,DET,L 7-45,0,0,,0,0,0,2,6,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
7,1964,14,1964-12-13,27-007,SFO,@,DET,L 7-24,0,0,,0,0,0,1,14,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
8,1966,11,1966-11-24,28-353,SFO,@,DET,W 41-14,0,0,,0,1,6,1,27,1
,,,8 Games,,,,,2-6-0,4,55,13.75,0,1,6,6,68,1
