
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2002,4,2002-09-29,23-090,CHI,@,BUF,L 27-33,,,,,0,,,,,,,,,,,,,,,,,,,,,,
2,2002,7,2002-10-27,23-118,CHI,@,MIN,L 7-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2002,9,2002-11-10,23-132,CHI,,NWE,L 30-33,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2002,11,2002-11-24,23-146,CHI,,DET,W 20-17,,,,,0,,,,,,,,,,,,,,,,,,,,,,
5,2002,12,2002-12-01,23-153,CHI,@,GNB,L 20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2002,13,2002-12-09,23-161,CHI,@,MIA,L 9-27,3,11,3.67,0,1,1,7,7.00,0,0,0,,0,0,0,,,,1,16,16.00,0,0,0,0.0,0,0
7,2002,14,2002-12-15,23-167,CHI,,NYJ,W 20-13,7,39,5.57,1,1,1,16,16.00,0,0,0,,0,0,0,,,,1,21,21.00,0,1,6,0.0,0,0
8,2002,15,2002-12-22,23-174,CHI,@,CAR,L 14-24,2,9,4.50,0,1,1,-5,-5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
9,2002,16,2002-12-29,23-181,CHI,,TAM,L 0-15,7,42,6.00,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
10,2003,1,2003-09-07,24-068,CHI,@,SFO,L 7-49,5,12,2.40,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
11,2003,2,2003-09-14,24-075,CHI,@,MIN,L 13-24,,,,,0,,,,,,,,,,,,,,,,,,,,,,
12,2003,3,2003-09-29,24-090,CHI,,GNB,L 23-38,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
13,2003,4,2003-10-05,24-096,CHI,,OAK,W 24-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2003,5,2003-10-12,24-103,CHI,@,NOR,L 13-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2003,6,2003-10-19,24-110,CHI,@,SEA,L 17-24,16,55,3.44,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
