
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2010,5,2010-10-10,22-162,BUF,,JAX,L 26-36
2,2010,7,2010-10-31,22-183,BUF,@,KAN,L 10-13
,,,2 Games,,,,,0-2-0
