
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1962,4,1962-09-30,26-283,NYT,,DEN,L 10-32,3,17,5.67,0,,1,9,9.00,0,3,65,21.67,0,2,4,2.00,0
2,1962,5,1962-10-06,26-289,NYT,,BOS,L 14-43,4,3,0.75,0,,5,47,9.40,0,2,45,22.50,0,0,0,,0
3,1962,6,1962-10-14,26-297,NYT,@,HOU,L 17-56,8,14,1.75,0,,3,28,9.33,0,0,0,,0,1,9,9.00,0
4,1962,7,1962-10-21,26-304,NYT,@,DTX,L 17-20,5,16,3.20,0,,0,0,,0,3,82,27.33,0,1,4,4.00,0
5,1962,8,1962-10-28,26-311,NYT,,SDG,W 23-3,10,-1,-0.10,0,,1,7,7.00,0,0,0,,0,0,0,,0
6,1962,9,1962-11-04,26-318,NYT,,OAK,W 31-21,0,0,,0,,0,0,,0,3,54,18.00,0,1,0,0.00,0
7,1962,10,1962-11-11,26-325,NYT,,DTX,L 31-52,1,-6,-6.00,0,,3,17,5.67,0,4,75,18.75,0,1,3,3.00,0
8,1962,11,1962-11-22,26-336,NYT,@,DEN,W 46-45,0,0,,0,,0,0,,0,5,96,19.20,0,3,27,9.00,0
9,1962,14,1962-12-15,26-359,NYT,,HOU,L 10-44,0,0,,0,,0,0,,0,2,45,22.50,0,0,0,,0
,,,9 Games,,,,,3-6-0,31,43,1.39,0,,13,108,8.31,0,22,462,21.00,0,9,47,5.22,0
