
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1990,14,1990-12-16,23-076,ATL,@,CLE,L 10-13,1,9,9.00,0,0,0,,0
2,1990,15,1990-12-23,23-083,ATL,,RAM,W 20-13,0,0,,0,1,14,14.00,0
3,1990,16,1990-12-30,23-090,ATL,,DAL,W 26-7,1,0,0.00,0,0,0,,0
,,,3 Games,,,,,2-1-0,2,9,4.50,0,1,14,14.00,0
