
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD
1,1960,4,1960-10-02,24-172,OAK,@,DEN,L 14-31,1,7,7.00,0,,1,19,19.00,0,0,0,,0
2,1960,5,1960-10-09,24-179,OAK,@,DTX,W 20-19,0,0,,0,,0,0,,0,1,5,5.00,0
,,,2 Games,,,,,1-1-0,1,7,7.00,0,,1,19,19.00,0,1,5,5.00,0
