
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,1,1987-09-13,25-024,GNB,,RAI,L 0-20,0,0,,0,2,58,29.00,0
2,1987,2,1987-09-20,25-031,GNB,,DEN,T 17-17,0,0,,0,1,20,20.00,0
3,1987,6,1987-10-25,25-066,GNB,@,DET,W 34-33,0,0,,0,3,44,14.67,0
4,1987,7,1987-11-01,25-073,GNB,,TAM,L 17-23,0,0,,0,1,0,0.00,0
5,1987,8,1987-11-08,25-080,GNB,,CHI,L 24-26,0,0,,0,1,10,10.00,0
6,1987,9,1987-11-15,25-087,GNB,@,SEA,L 13-24,0,0,,0,0,0,,0
7,1987,11,1987-11-29,25-101,GNB,@,CHI,L 10-23,2,3,1.50,0,2,15,7.50,0
8,1987,12,1987-12-06,25-108,GNB,,SFO,L 12-23,0,0,,0,0,0,,0
9,1987,13,1987-12-13,25-115,GNB,,MIN,W 16-10,0,0,,0,0,0,,0
10,1987,14,1987-12-19,25-121,GNB,@,NYG,L 10-20,0,0,,0,0,0,,0
11,1987,15,1987-12-27,25-129,GNB,@,NOR,L 24-33,0,0,,0,0,0,,0
,,,11 Games,,,,,2-8-1,2,3,1.50,0,10,147,14.70,0
