
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1983,3,1983-09-18,22-335,MIN,@,TAM,W 19-16,0,0,,0
2,1983,4,1983-09-25,22-342,MIN,,DET,W 20-17,0,0,,0
3,1983,5,1983-10-02,22-349,MIN,,DAL,L 24-37,0,0,,0
4,1983,6,1983-10-09,22-356,MIN,@,CHI,W 23-14,0,0,,0
5,1983,7,1983-10-16,22-363,MIN,,HOU,W 34-14,0,0,,0
6,1983,8,1983-10-23,23-005,MIN,@,GNB,W 20-17,0,0,,0
7,1983,9,1983-10-30,23-012,MIN,@,STL,L 31-41,0,0,,0
8,1983,10,1983-11-06,23-019,MIN,,TAM,L 12-17,0,0,,0
9,1983,11,1983-11-13,23-026,MIN,,GNB,L 21-29,0,0,,0
10,1983,12,1983-11-20,23-033,MIN,@,PIT,W 17-14,0,0,,0
11,1983,13,1983-11-27,23-040,MIN,@,NOR,L 16-17,0,0,,0
12,1983,14,1983-12-05,23-048,MIN,@,DET,L 2-13,1,14,14.00,0
13,1983,15,1983-12-11,23-054,MIN,,CHI,L 13-19,0,0,,0
14,1983,16,1983-12-17,23-060,MIN,,CIN,W 20-14,0,0,,0
,,,14 Games,,,,,7-7-0,1,14,14.00,0
