
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-25,30-230,CHI,@,GNB,W 17-14,,3,39,13.00,0,0,0
2,1960,2,1960-10-02,30-237,CHI,@,BAL,L 7-42,,3,45,15.00,0,0,0
3,1960,4,1960-10-16,30-251,CHI,,SFO,W 27-10,,1,16,16.00,0,0,0
4,1960,5,1960-10-23,30-258,CHI,@,RAM,T 24-24,,7,71,10.14,0,0,0
5,1960,6,1960-10-30,30-265,CHI,@,SFO,L 7-25,,2,27,13.50,0,0,0
6,1960,7,1960-11-13,30-279,CHI,,BAL,L 20-24,,4,47,11.75,0,0,0
7,1960,8,1960-11-20,30-286,CHI,,DET,W 28-7,,1,6,6.00,0,0,0
8,1960,9,1960-11-27,30-293,CHI,,DAL,W 17-7,,5,40,8.00,0,0,0
9,1960,10,1960-12-04,30-300,CHI,,GNB,L 13-41,,3,34,11.33,1,1,6
10,1960,11,1960-12-11,30-307,CHI,@,CLE,L 0-42,,7,101,14.43,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
11,1961,13,1961-12-10,31-305,CHI,,CLE,W 17-14,,6,90,15.00,0,0,0
,,,11 Games,,,,,5-5-1,,42,516,12.29,1,1,6
