
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
46,1998,15,1998-12-19,24-363,TAM,@,WAS,L 16-20,13,80,6.15,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
47,1998,16,1998-12-27,25-006,TAM,@,CIN,W 35-0,20,69,3.45,3,2,2,8,4.00,0,0,0,,0,0,0,,,,0,0,,0,3,18
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
48,1999,1,1999-09-12,25-265,TAM,,NYG,L 13-17,9,12,1.33,0,3,2,25,12.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
49,1999,2,1999-09-19,25-272,TAM,@,PHI,W 19-5,15,64,4.27,0,3,3,33,11.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
50,1999,3,1999-09-26,25-279,TAM,,DEN,W 13-10,25,131,5.24,1,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
51,1999,4,1999-10-03,25-286,TAM,@,MIN,L 14-21,6,32,5.33,0,3,3,22,7.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
52,1999,5,1999-10-10,25-293,TAM,@,GNB,L 23-26,14,87,6.21,1,4,2,16,8.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
53,1999,6,1999-10-24,25-307,TAM,,CHI,W 6-3,14,72,5.14,0,0,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,0,0
54,1999,7,1999-10-31,25-314,TAM,@,DET,L 3-20,10,32,3.20,0,1,1,16,16.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
55,1999,8,1999-11-07,25-321,TAM,@,NOR,W 31-16,25,117,4.68,1,1,1,15,15.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
56,1999,9,1999-11-14,25-328,TAM,,KAN,W 17-10,16,33,2.06,0,0,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
57,1999,10,1999-11-21,25-335,TAM,,ATL,W 19-10,12,48,4.00,0,2,2,9,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
58,1999,11,1999-11-28,25-342,TAM,@,SEA,W 16-3,17,49,2.88,0,1,1,24,24.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
59,1999,12,1999-12-06,25-350,TAM,,MIN,W 24-17,23,95,4.13,0,1,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
60,1999,13,1999-12-12,25-356,TAM,,DET,W 23-16,8,28,3.50,1,4,3,39,13.00,1,0,0,,0,0,0,,,,0,0,,0,2,12
61,1999,14,1999-12-19,25-363,TAM,@,OAK,L 0-45,7,6,0.86,0,2,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
62,1999,15,1999-12-26,26-005,TAM,,GNB,W 29-10,19,79,4.16,2,2,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,2,12
