
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2007,11,2007-11-25,23-160,KAN,,OAK,L 17-20,2,4,2.00,0,1,0,0,,0
2,2007,12,2007-12-02,23-167,KAN,,SDG,L 10-24,2,5,2.50,0,1,1,19,19.00,0
3,2007,13,2007-12-09,23-174,KAN,@,DEN,L 7-41,4,4,1.00,0,1,1,5,5.00,0
4,2007,14,2007-12-16,23-181,KAN,,TEN,L 17-26,1,-4,-4.00,0,1,1,14,14.00,0
,,,4 Games,,,,,0-4-0,9,9,1.00,0,4,3,38,12.67,0
