
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2003,14,2003-12-14,25-113,MIN,@,CHI,L 10-13,,,,,
2,2003,15,2003-12-20,25-119,MIN,,KAN,W 45-20,0,,,,
3,2003,16,2003-12-28,25-127,MIN,@,ARI,L 17-18,0,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
4,2004,1,2004-09-12,26-020,MIN,,DAL,W 35-17,0,,,,
5,2004,2,2004-09-20,26-028,MIN,@,PHI,L 16-27,0,,,,
6,2004,3,2004-09-26,26-034,MIN,,CHI,W 27-22,,,,,
7,2004,4,2004-10-10,26-048,MIN,@,HOU,W 34-28,1,1,9,9.00,0
8,2004,5,2004-10-17,26-055,MIN,@,NOR,W 38-31,,,,,
9,2004,6,2004-10-24,26-062,MIN,,TEN,W 20-3,0,,,,
10,2004,7,2004-10-31,26-069,MIN,,NYG,L 13-34,0,,,,
11,2004,8,2004-11-08,26-077,MIN,@,IND,L 28-31,0,,,,
12,2004,9,2004-11-14,26-083,MIN,@,GNB,L 31-34,0,,,,
13,2004,10,2004-11-21,26-090,MIN,,DET,W 22-19,0,,,,
14,2004,11,2004-11-28,26-097,MIN,,JAX,W 27-16,0,,,,
15,2004,12,2004-12-05,26-104,MIN,@,CHI,L 14-24,,,,,
16,2004,13,2004-12-12,26-111,MIN,,SEA,L 23-27,,,,,
17,2004,14,2004-12-19,26-118,MIN,@,DET,W 28-27,0,,,,
18,2004,15,2004-12-24,26-123,MIN,,GNB,L 31-34,0,,,,
19,2004,16,2005-01-02,26-132,MIN,@,WAS,L 18-21,0,,,,
,,,19 Games,,,,,9-10-0,1,1,9,9.00,0
