
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
46,1981,15,1981-12-14,25-354,ATL,@,RAM,L 16-21,23,115,5.00,0,,2,3,1.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
47,1981,16,1981-12-20,25-360,ATL,,CIN,L 28-30,18,63,3.50,2,,6,49,8.17,0,0,0,,0,0,0,,,,0,0,,0,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
48,1982,1,1982-09-12,26-261,ATL,@,NYG,W 16-14,18,64,3.56,1,,2,16,8.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
49,1982,2,1982-09-19,26-268,ATL,,RAI,L 14-38,10,25,2.50,1,,5,94,18.80,0,0,0,,0,0,0,,,,0,0,,0,1,6
50,1982,3,1982-11-21,26-331,ATL,,RAM,W 34-17,21,119,5.67,1,,7,88,12.57,0,0,0,,0,0,0,,,,0,0,,0,1,6
51,1982,4,1982-11-28,26-338,ATL,,STL,L 20-23,11,25,2.27,0,,5,41,8.20,0,0,0,,0,0,0,,,,0,0,,0,0,0
52,1982,5,1982-12-05,26-345,ATL,@,DEN,W 34-27,16,73,4.56,2,,3,106,35.33,1,0,0,,0,0,0,,,,0,0,,0,3,18
53,1982,6,1982-12-12,26-352,ATL,,NOR,W 35-0,14,61,4.36,0,,3,1,0.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
54,1982,7,1982-12-19,26-359,ATL,@,SFO,W 17-7,24,108,4.50,0,,4,68,17.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
55,1982,8,1982-12-26,27-001,ATL,,GNB,L 7-38,11,41,3.73,0,,11,77,7.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
56,1982,9,1983-01-02,27-008,ATL,@,NOR,L 6-35,14,57,4.07,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
57,1983,1,1983-09-04,27-253,ATL,@,CHI,W 20-17,22,95,4.32,0,,3,43,14.33,1,0,0,,0,0,0,,,,0,0,,0,1,6
58,1983,2,1983-09-11,27-260,ATL,,NYG,L 13-16,16,55,3.44,0,,4,61,15.25,0,0,0,,0,0,0,,,,0,0,,0,0,0
59,1983,3,1983-09-18,27-267,ATL,@,DET,W 30-14,32,150,4.69,0,,4,34,8.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
60,1983,4,1983-09-25,27-274,ATL,@,SFO,L 20-24,28,126,4.50,0,,2,26,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
61,1983,5,1983-10-02,27-281,ATL,,PHI,L 24-28,25,150,6.00,0,,1,10,10.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
62,1983,6,1983-10-09,27-288,ATL,,NOR,L 17-19,25,77,3.08,1,,3,6,2.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
63,1983,7,1983-10-16,27-295,ATL,@,RAM,L 21-27,18,82,4.56,0,,2,19,9.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
64,1983,8,1983-10-23,27-302,ATL,@,NYJ,W 27-21,12,50,4.17,0,,8,82,10.25,1,0,0,,0,0,0,,,,0,0,,0,1,6
65,1983,9,1983-10-30,27-309,ATL,,NWE,W 24-13,25,125,5.00,0,,3,52,17.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
66,1983,10,1983-11-06,27-316,ATL,@,NOR,L 10-27,17,45,2.65,1,,3,14,4.67,0,0,0,,0,0,0,,,,0,0,,0,1,6
67,1983,11,1983-11-14,27-324,ATL,,RAM,L 13-36,14,52,3.71,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
