
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,4,1987-10-11,24-303,NYG,,WAS,L 12-38,2,-2,-1.00,0,,0,0,,0
2,1987,5,1987-10-18,24-310,NYG,@,BUF,L 3-6,2,2,1.00,0,,1,9,9.00,0
,,,2 Games,,,,,0-2-0,4,0,0.00,0,,1,9,9.00,0
