
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1978,5,1978-10-01,24-088,ATL,,NYG,W 23-20,0,0,,0,,0,0,,0,1,26,26.00,0
2,1978,6,1978-10-08,24-095,ATL,@,PIT,L 7-31,0,0,,0,,0,0,,0,3,75,25.00,0
3,1978,8,1978-10-22,24-109,ATL,@,SFO,W 20-17,0,0,,0,,0,0,,0,1,23,23.00,0
4,1978,10,1978-11-05,24-123,ATL,,SFO,W 21-10,1,-8,-8.00,0,,1,19,19.00,0,1,33,33.00,0
5,1978,11,1978-11-12,24-130,ATL,@,NOR,W 20-17,0,0,,0,,0,0,,0,1,25,25.00,0
6,1978,13,1978-11-26,24-144,ATL,,NOR,W 20-17,0,0,,0,,0,0,,0,1,19,19.00,0
7,1978,14,1978-12-03,24-151,ATL,@,CIN,L 7-37,0,0,,0,,0,0,,0,1,22,22.00,0
8,1978,15,1978-12-10,24-158,ATL,,WAS,W 20-17,0,0,,0,,0,0,,0,1,10,10.00,0
9,1978,16,1978-12-17,24-165,ATL,@,STL,L 21-42,0,0,,0,,0,0,,0,1,25,25.00,0
,,,9 Games,,,,,6-3-0,1,-8,-8.00,0,,1,19,19.00,0,11,258,23.45,0
