
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2000,2,2000-09-10,23-115,IND,,OAK,L 31-38,,,,,,,,,,,,,
2,2000,3,2000-09-25,23-130,IND,,JAX,W 43-14,,,,,0,,,,,,,,
3,2000,4,2000-10-01,23-136,IND,@,BUF,W 18-16,,,,,,,,,,,,,
4,2000,5,2000-10-08,23-143,IND,@,NWE,L 16-24,,,,,,,,,,,,,
5,2000,6,2000-10-15,23-150,IND,@,SEA,W 37-24,,,,,,,,,,,,,
6,2000,7,2000-10-22,23-157,IND,,NWE,W 30-23,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
7,2001,3,2001-09-30,24-135,IND,@,NWE,L 13-44,,,,,,,,,,,,,
8,2001,4,2001-10-14,24-149,IND,,OAK,L 18-23,,,,,,,,,,,,,
9,2001,8,2001-11-11,24-177,IND,,MIA,L 24-27,10,18,1.80,0,1,0,0,,0,0,0,,0
10,2001,10,2001-11-25,24-191,IND,,SFO,L 21-40,4,23,5.75,0,0,0,0,,0,0,0,,0
11,2001,11,2001-12-02,24-198,IND,@,BAL,L 27-39,,,,,,,,,,,,,
12,2001,12,2001-12-10,24-206,IND,@,MIA,L 6-41,0,0,,0,0,0,0,,0,3,67,22.33,0
13,2001,13,2001-12-16,24-212,IND,,ATL,W 41-27,0,0,,0,0,0,0,,0,4,89,22.25,0
14,2001,14,2001-12-23,24-219,IND,,NYJ,L 28-29,0,0,,0,1,1,10,10.00,0,7,161,23.00,0
15,2001,15,2001-12-30,24-226,IND,@,STL,L 17-42,1,-1,-1.00,0,0,0,0,,0,0,0,,0
16,2001,16,2002-01-06,24-233,IND,,DEN,W 29-10,2,8,4.00,0,0,0,0,,0,2,45,22.50,0
,,,16 Games,,,,,6-10-0,17,48,2.82,0,2,1,10,10.00,0,16,362,22.63,0
