
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,3,1987-10-04,24-056,RAM,@,NOR,L 10-37,2,9,4.50,0,4,103,25.75,0
2,1987,4,1987-10-11,24-063,RAM,,PIT,W 31-21,0,0,,0,1,11,11.00,0
3,1987,5,1987-10-18,24-070,RAM,@,ATL,L 20-24,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,2,9,4.50,0,5,114,22.80,0
