
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1982,10,1983-01-09,25-139,NYJ,@,CIN,W 44-17
2,1982,11,1983-01-15,25-145,NYJ,@,RAI,W 17-14
3,1982,12,1983-01-23,25-153,NYJ,@,MIA,L 0-14
,,,3 Games,,,,,2-1-0
