
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1987,3,1987-10-04,22-050,NYJ,,DAL,L 24-38,9,16,1.78,1,,4,18,4.50,0,1,6
2,1987,4,1987-10-11,22-057,NYJ,@,IND,L 0-6,2,4,2.00,0,,0,0,,0,0,0
3,1987,5,1987-10-18,22-064,NYJ,,MIA,W 37-31,1,2,2.00,0,,0,0,,0,0,0
,,,3 Games,,,,,1-2-0,12,22,1.83,1,,4,18,4.50,0,1,6
