
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2010,12,2010-12-05,22-220,DAL,@,IND,W 38-35
2,2010,13,2010-12-12,22-227,DAL,,PHI,L 27-30
3,2010,14,2010-12-19,22-234,DAL,,WAS,W 33-30
4,2010,16,2011-01-02,22-248,DAL,@,PHI,W 14-13
,,,4 Games,,,,,3-1-0
