
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,23-319,BUF,,IND,L 6-47,,1,9,9.00,0
2,1987,4,1987-10-11,23-326,BUF,@,NWE,L 7-14,,0,0,,0
,,,2 Games,,,,,0-2-0,,1,9,9.00,0
