
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1974,1,1974-09-15,22-133,SDG,@,HOU,L 14-21,21,71,3.38,1,,2,14,7.00,0,1,6
2,1974,2,1974-09-22,22-140,SDG,@,CIN,W 20-17,14,42,3.00,1,,0,0,,0,1,6
3,1974,5,1974-10-13,22-161,SDG,,OAK,L 10-14,1,1,1.00,0,,1,22,22.00,0,0,0
4,1974,6,1974-10-20,22-168,SDG,@,DEN,L 7-27,3,12,4.00,1,,3,30,10.00,0,1,6
5,1974,7,1974-10-27,22-175,SDG,,KAN,L 14-24,2,7,3.50,0,,1,10,10.00,0,0,0
6,1974,8,1974-11-03,22-182,SDG,,CLE,W 36-35,0,0,,0,,1,1,1.00,1,1,6
7,1974,9,1974-11-10,22-189,SDG,@,KAN,W 14-7,21,59,2.81,0,,1,2,2.00,0,0,0
8,1974,10,1974-11-17,22-196,SDG,@,OAK,L 10-17,1,5,5.00,0,,0,0,,0,0,0
9,1974,11,1974-11-24,22-203,SDG,@,GNB,L 0-34,1,1,1.00,0,,0,0,,0,0,0
10,1974,12,1974-12-01,22-210,SDG,@,NYJ,L 14-27,0,0,,0,,2,22,11.00,0,0,0
11,1974,13,1974-12-08,22-217,SDG,,CHI,W 28-21,1,0,0.00,0,,0,0,,0,0,0
12,1974,14,1974-12-15,22-224,SDG,,DEN,W 17-0,1,1,1.00,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
13,1975,6,1975-10-26,23-174,SDG,@,OAK,L 0-25,11,47,4.27,0,,1,3,3.00,0,0,0
14,1975,7,1975-11-01,23-180,SDG,@,NYG,L 24-35,5,28,5.60,0,,0,0,,0,0,0
15,1975,12,1975-12-07,23-216,SDG,@,KAN,W 28-20,9,32,3.56,0,,0,0,,0,0,0
16,1975,13,1975-12-15,23-224,SDG,,NYJ,W 24-16,3,13,4.33,0,,1,5,5.00,0,0,0
,,,16 Games,,,,,7-9-0,94,319,3.39,3,,13,109,8.38,1,4,24
