
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1992,1,1992-09-06,23-020,PHI,,NOR,W 15-13,0,0,,0
2,1992,2,1992-09-13,23-027,PHI,@,PHO,W 31-14,0,0,,0
3,1992,3,1992-09-20,23-034,PHI,,DEN,W 30-0,0,0,,0
4,1992,4,1992-10-05,23-049,PHI,,DAL,W 31-7,0,0,,0
5,1992,5,1992-10-11,23-055,PHI,@,KAN,L 17-24,1,11,11.00,0
,,,5 Games,,,,,4-1-0,1,11,11.00,0
