
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-25,24-076,BAL,,WAS,W 20-0,,1,13,13.00,0,0,0
2,1960,6,1960-10-30,24-111,BAL,@,DAL,W 45-7,,2,9,4.50,1,1,6
3,1960,9,1960-11-27,24-139,BAL,,SFO,L 22-30,,1,13,13.00,0,0,0
4,1960,10,1960-12-04,24-146,BAL,,DET,L 15-20,,1,8,8.00,0,0,0
5,1960,11,1960-12-11,24-153,BAL,@,RAM,L 3-10,,3,47,15.67,0,0,0
,,,5 Games,,,,,2-3-0,,8,90,11.25,1,1,6
