
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2000,7,2000-10-23,23-279,NYJ,,MIA,W 40-37,,,,,,,,,
2,2000,8,2000-10-29,23-285,NYJ,@,BUF,L 20-23,0,,,,,,,,
3,2000,12,2000-11-26,23-313,NYJ,,CHI,W 17-10,,,,,,,,,
4,2000,13,2000-12-03,23-320,NYJ,,IND,W 27-17,,,,,,,,,
5,2000,14,2000-12-10,23-327,NYJ,@,OAK,L 7-31,,,,,,,,,
6,2000,15,2000-12-17,23-334,NYJ,,DET,L 7-10,,,,,,,,,
7,2000,16,2000-12-24,23-341,NYJ,@,BAL,L 20-34,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
8,2001,13,2001-12-16,24-332,CLE,,JAX,L 10-15,,,,,,,,,
9,2001,14,2001-12-23,24-339,CLE,@,GNB,L 7-30,1,,,,,,,,
10,2001,15,2001-12-30,24-346,CLE,@,TEN,W 41-38,1,1,5,5.00,0,0,0,,0
11,2001,16,2002-01-06,24-353,CLE,@,PIT,L 7-28,2,2,10,5.00,0,1,14,14.00,0
,,,11 Games,,,,,4-7-0,4,3,15,5.00,0,1,14,14.00,0
