
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
1,1960,1,1960-09-25,31-363,BAL,,WAS,W 20-0,1,1,1.00,0,,1,13,13.00,0,0,0,,0,0,0,,,,0,0,,0,2,10,5.00,0,0,0,0
2,1960,2,1960-10-02,32-004,BAL,,CHI,W 42-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,2,2.00,0,0,0,0
3,1960,3,1960-10-09,32-011,BAL,@,GNB,L 21-35,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,4,76,19.00,0,0,0,,0,0,0,0
4,1960,4,1960-10-16,32-018,BAL,,RAM,W 31-17,3,2,0.67,0,,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0,,0,0,0,0
5,1960,5,1960-10-23,32-025,BAL,@,DET,L 17-30,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,62,20.67,0,1,5,5.00,0,0,0,0
6,1960,8,1960-11-13,32-046,BAL,@,CHI,W 24-20,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,2,43,21.50,0,0,0,,0,0,0,0
7,1960,9,1960-11-27,32-060,BAL,,SFO,L 22-30,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,22,22.00,0,1,1,1.00,0,0,0,0
8,1960,12,1960-12-18,32-081,BAL,@,SFO,L 10-34,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,65,21.67,0,1,7,7.00,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
9,1961,1,1961-09-17,32-354,BAL,,RAM,W 27-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,0,0.00,0,0,0,0
10,1961,2,1961-09-24,32-361,BAL,,DET,L 15-16,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,15,0
11,1961,3,1961-10-01,33-003,BAL,,MIN,W 34-33,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,2,11,5.50,0,0,0,0
12,1961,5,1961-10-15,33-017,BAL,@,CHI,L 10-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,5,5.00,0,0,0,0
13,1961,6,1961-10-22,33-024,BAL,@,DET,W 17-14,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,23,23.00,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
14,1962,1,1962-09-09,33-346,BUF,,HOU,L 23-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,17,0
15,1962,2,1962-09-15,33-352,BUF,,DEN,L 20-23,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,4,4.00,0,1,4,0
16,1962,4,1962-09-30,34-002,BUF,@,DTX,L 21-41,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,0,0,0
17,1962,5,1962-10-07,34-009,BUF,@,HOU,L 14-17,0,0,,0,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,0,0.00,0,0,0,0
18,1962,9,1962-11-03,34-036,BUF,,BOS,T 28-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,0,0,0
,,,18 Games,,,,,7-10-1,4,3,0.75,0,,1,13,13.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,14,291,20.79,0,15,82,5.47,0,3,36,0
