
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1990,1,1990-09-09,23-129,PIT,@,CLE,L 3-13,,1,13,13.00,0,1,4,4.00,0,0,0
2,1990,2,1990-09-16,23-136,PIT,,HOU,W 20-9,,0,0,,0,0,0,,0,,
3,1990,3,1990-09-23,23-143,PIT,@,RAI,L 3-20,,1,2,2.00,0,1,12,12.00,0,0,0
4,1990,4,1990-09-30,23-150,PIT,,MIA,L 6-28,,1,10,10.00,0,0,0,,0,0,0
5,1990,5,1990-10-07,23-157,PIT,,SDG,W 36-14,,2,35,17.50,0,0,0,,0,0,0
6,1990,6,1990-10-14,23-164,PIT,@,DEN,W 34-17,,0,0,,0,2,1,0.50,0,0,0
7,1990,7,1990-10-21,23-171,PIT,@,SFO,L 7-27,,1,2,2.00,1,0,0,,0,1,6
8,1990,8,1990-10-29,23-179,PIT,,RAM,W 41-10,,1,8,8.00,0,0,0,,0,0,0
9,1990,9,1990-11-04,23-185,PIT,,ATL,W 21-9,,1,43,43.00,0,0,0,,0,0,0
10,1990,10,1990-11-18,23-199,PIT,@,CIN,L 3-27,,2,9,4.50,0,0,0,,0,0,0
11,1990,11,1990-11-25,23-206,PIT,@,NYJ,W 24-7,,1,7,7.00,0,0,0,,0,0,0
12,1990,12,1990-12-02,23-213,PIT,,CIN,L 12-16,,0,0,,0,0,0,,0,,
13,1990,13,1990-12-09,23-220,PIT,,NWE,W 24-3,,1,8,8.00,0,0,0,,0,0,0
14,1990,14,1990-12-16,23-227,PIT,@,NOR,W 9-6,,0,0,,0,0,0,,0,,
15,1990,15,1990-12-23,23-234,PIT,,CLE,W 35-0,,0,0,,0,1,1,1.00,0,0,0
16,1990,16,1990-12-30,23-241,PIT,@,HOU,L 14-34,,0,0,,0,0,0,,0,,
,,,16 Games,,,,,9-7-0,,12,137,11.42,1,5,18,3.60,0,1,6
