
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2004,5,2004-10-10,22-347,ARI,@,SFO,L 28-31,0,0,,0,2,1,8,8.00,0,3,60,20.00,0
2,2004,6,2004-10-24,22-361,ARI,,SEA,W 25-17,1,2,2.00,0,0,0,0,,0,4,89,22.25,0
3,2004,7,2004-10-31,23-002,ARI,@,BUF,L 14-38,0,0,,0,0,0,0,,0,4,69,17.25,0
4,2004,8,2004-11-07,23-009,ARI,@,MIA,W 24-23,0,0,,0,0,0,0,,0,5,96,19.20,0
5,2004,11,2004-11-28,23-030,ARI,,NYJ,L 3-13,10,25,2.50,0,3,1,8,8.00,0,0,0,,0
6,2004,12,2004-12-05,23-037,ARI,@,DET,L 12-26,18,49,2.72,0,0,0,0,,0,0,0,,0
,,,6 Games,,,,,2-4-0,29,76,2.62,0,5,2,16,8.00,0,16,314,19.63,0
