
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1989,1,1989-09-10,24-220,DEN,,KAN,W 34-20,2,16,8.00,0,,1,11,11.00,0,0,0,,0,0,0
2,1989,2,1989-09-18,24-228,DEN,@,BUF,W 28-14,0,0,,0,,0,0,,0,0,0,,0,,
3,1989,3,1989-09-24,24-234,DEN,,RAI,W 31-21,1,7,7.00,0,,1,14,14.00,0,0,0,,0,0,0
4,1989,4,1989-10-01,24-241,DEN,@,CLE,L 13-16,0,0,,0,,0,0,,0,0,0,,0,,
5,1989,5,1989-10-08,24-248,DEN,,SDG,W 16-10,0,0,,0,,0,0,,0,0,0,,0,,
6,1989,6,1989-10-15,24-255,DEN,,IND,W 14-3,1,7,7.00,0,,0,0,,0,0,0,,0,0,0
7,1989,7,1989-10-22,24-262,DEN,@,SEA,W 24-21,0,0,,0,,0,0,,0,0,0,,0,,
8,1989,8,1989-10-29,24-269,DEN,,PHI,L 24-28,3,10,3.33,0,,1,4,4.00,1,0,0,,0,1,6
9,1989,9,1989-11-05,24-276,DEN,,PIT,W 34-7,3,8,2.67,0,,0,0,,0,1,10,10.00,0,0,0
10,1989,10,1989-11-12,24-283,DEN,@,KAN,W 16-13,0,0,,0,,0,0,,0,1,9,9.00,0,0,0
11,1989,11,1989-11-20,24-291,DEN,@,WAS,W 14-10,4,6,1.50,0,,1,1,1.00,1,0,0,,0,1,6
12,1989,12,1989-11-26,24-297,DEN,,SEA,W 41-14,1,1,1.00,0,,0,0,,0,0,0,,0,0,0
13,1989,13,1989-12-03,24-304,DEN,@,RAI,L 13-16,2,10,5.00,1,,1,5,5.00,0,0,0,,0,1,6
14,1989,14,1989-12-10,24-311,DEN,,NYG,L 7-14,3,7,2.33,0,,2,6,3.00,0,0,0,,0,0,0
15,1989,15,1989-12-16,24-317,DEN,@,PHO,W 37-0,4,17,4.25,0,,2,22,11.00,1,0,0,,0,1,6
16,1989,16,1989-12-24,24-325,DEN,@,SDG,L 16-19,6,19,3.17,0,,1,6,6.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
17,1990,1,1990-09-09,25-219,DEN,@,RAI,L 9-14,1,2,2.00,0,,1,4,4.00,0,1,14,14.00,0,0,0
18,1990,2,1990-09-17,25-227,DEN,,KAN,W 24-23,2,6,3.00,0,,1,-3,-3.00,0,1,18,18.00,0,0,0
19,1990,3,1990-09-23,25-233,DEN,,SEA,W 34-31,4,13,3.25,0,,3,7,2.33,1,0,0,,0,1,6
20,1990,4,1990-09-30,25-240,DEN,@,BUF,L 28-29,0,0,,0,,0,0,,0,0,0,,0,,
21,1990,5,1990-10-08,25-248,DEN,,CLE,L 29-30,1,1,1.00,0,,2,21,10.50,0,0,0,,0,0,0
22,1990,6,1990-10-14,25-254,DEN,,PIT,L 17-34,1,7,7.00,0,,2,12,6.00,0,0,0,,0,0,0
23,1990,7,1990-10-21,25-261,DEN,@,IND,W 27-17,0,0,,0,,2,33,16.50,0,0,0,,0,0,0
24,1990,8,1990-11-04,25-275,DEN,@,MIN,L 22-27,5,11,2.20,1,,4,51,12.75,0,0,0,,0,1,6
25,1990,9,1990-11-11,25-282,DEN,@,SDG,L 7-19,0,0,,0,,1,8,8.00,0,1,5,5.00,0,0,0
26,1990,10,1990-11-18,25-289,DEN,,CHI,L 13-16,2,6,3.00,0,,2,13,6.50,0,0,0,,0,0,0
27,1990,11,1990-11-22,25-293,DEN,@,DET,L 27-40,4,9,2.25,2,,7,43,6.14,0,0,0,,0,2,12
28,1990,12,1990-12-02,25-303,DEN,,RAI,L 20-23,0,0,,0,,0,0,,0,0,0,,0,,
29,1990,13,1990-12-09,25-310,DEN,@,KAN,L 20-31,0,0,,0,,0,0,,0,0,0,,0,,
30,1990,14,1990-12-16,25-317,DEN,,SDG,W 20-10,0,0,,0,,3,78,26.00,0,0,0,,0,0,0
31,1990,15,1990-12-23,25-324,DEN,@,SEA,L 12-17,0,0,,0,,0,0,,0,0,0,,0,,
32,1990,16,1990-12-30,25-331,DEN,,GNB,W 22-13,7,27,3.86,0,,1,9,9.00,0,0,0,,0,0,0
,,,32 Games,,,,,16-16-0,57,190,3.33,4,,39,345,8.85,4,5,56,11.20,0,8,48
