
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1985,12,1985-11-24,22-163,STL,,NYG,L 3-34,0,0,,0
2,1985,13,1985-11-28,22-167,STL,@,DAL,L 17-35,1,19,19.00,0
,,,2 Games,,,,,0-2-0,1,19,19.00,0
