
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1961,6,1961-10-22,23-100,NYT,@,DEN,L 10-27,4,1,0.25,0,1,16,16.00,0,0,0,,0
2,1961,7,1961-10-29,23-107,NYT,@,OAK,W 14-6,1,0,0.00,0,0,0,,0,2,12,6.00,0
3,1961,8,1961-11-05,23-114,NYT,@,SDG,L 13-48,2,1,0.50,0,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,7,2,0.29,0,1,16,16.00,0,2,12,6.00,0
